0,"CAIRO , EGYPT -- A man identified as Osama bin Laden , speaking on an audiotape posted on an Islamic website yesterday , praised the men who attacked a US consulate in Jidda , Saudi Arabia , earlier this month and called on militants to stop the flow of oil to"
0,"BAGHDAD : The clock was ticking down for two French hostages whose Islamist abductors have served Paris with an ultimatum to lift a ban on Muslim headscarves in schools , while Iraq s government continued efforts to end the chaos prevailing in the country ."
1,Blackburn have confirmed Souness has left Ewood Park and the BBC has confirmed he has agreed terms to succeed Sir Bobby Robson .	Newcastle had targeted Birmingham s Steve Bruce and Aston Villa manager David
3,NEW YORKHitachi Data Systems Inc. unveiled Tuesday embedded virtualization layer technology that can aggregate up to 32 petabytes of internal and external storage into a single virtual storage pool and
1,"ALAMEDA , Calif. ( Sports Network ) - Oakland Raiders quarterback Rich Gannon will miss the remainder of the season , but stopped short of announcing his retirement on Monday ."
2,"SINGAPORE ( Reuters ) - The dollar sagged early on Monday , helping to send Asian exporters ' shares sharply lower , after a meeting of the Group of 20 rich and developing nations said nothing to arrest its fall ."
3,"It s back -- the season of peace , good fellowship , and digital marvels .	The Entertainment Software Association reckons that nearly one third of all Americans will give a computer game as a Christmas gift in 2004 ."
1,"As a team , the Jets have an awful lot to prove .	And as a quarterback , Chad Pennington is still trying to cement his reputation as a big-game performer ."
0,"SINGAPORE -- Philippine authorities said yesterday that they were seeking four members of Abu Sayyaf , an Islamic gang with long-standing ties to Al Qaeda , in the February sinking of a ferry that left at least 118 people dead ."
2,"The European Commission plans to announce a formal proposal settling the long-running Coca-Cola antitrust case later on Tuesday , a source close to the situation said ."
0,A London-based Chechen rebel representative said Wednesday that Russia s threats to attack terrorists around the world amount to a warning to European countries that Russian forces
3,It has the technology to land men on the moon and send probes into the darkest reaches of space .	But Nasa s newest project has more in common with school science lessons than Star Wars .
3,A Connecticut researcher on leave at UC Berkeley said Friday she tried to follow all the rules when she stored a confidential database on a campus computer system that was broken into by a hacker .
0,"An Israeli helicopter fires two missiles at targets in Gaza City , Palestinian witnesses say ."
3,"Dell has upgraded its X30 with the X50 range of handhelds with three new models .	The new Axim handheld computers offer Intel XScale Processors up to 624MHz , integrated Wi-Fi 802 ."
3,Reuters - Environmental experts Friday welcomed a hint of a softening in U.S. skepticism about global warming but saw little chance President Bush might rejoin international efforts to cap greenhouse gases .
2,An Australian investment fund will spend more than $ 3 billion buying into the broadcast operations of UK communications company NTL Incorporated .
0,"Cambodia , Laos , Myanmar and Vietnam ( CLMV ) , four less-developed countries of the Association of Southeast Asian Nations ( ASEAN ) , on Sunday vowed tofurther their sub-regional"
3,"AP - For back-to-school shoppers , a new alphabet reigns , and it starts with E for electronics .	With camera cell phones and the Apple iPod music player topping student wish lists , some of the hottest gadgets have little to do with pen or paper , much less studying ."
3,Huge waves and freezing rain hampered efforts on Friday to search for six missing crew members from a wrecked freighter that was spilling its oil into the Bering Sea .
1,"With Pedro Martinez headed to the New York Mets and Curt Schilling s recovery from ankle surgery taking longer than expected , the Boston s newest acquisition might start the season opener against his former team at Yankee Stadium ."
3,"If you ve ever seen a smack-head handcuffed to a bed gibbering uncontrollably because he can t get a fix , then be afraid , because that s what you ll look like after two weeks of internet-free cold turkey ."
1,"China s fastest driver , Rubens Barrichello , would rather rent a bed on the main straight of the Formula One track than commute to a Shanghai hotel every day ."
3,Craig McCaw discusses Cingular 's acquisition of AT T Wireless and looks toward his new WiMax venture .
2,California is enacting environmental legislation that could shape the U.S. auto market .
2,"NEW YORK ( Reuters ) - Corporate America is gun-shy about making significant spending increases in 2005 , as high fuel costs , geopolitical concerns and memories of recent overspending loom over budget plans for next year ."
0,"Frequent cannabis use during adolescence and young adulthood raises the risk of psychotic symptoms later in life , research suggests ."
2,"Reuters - Tokyo 's Nikkei fell 0.19 percent by midday on Wednesday , erasing initial gains and extending losses into a ninth straight day as worry over higher oil prices and domestic economic uncertainty hit exporters and tech stocks ."
3,PC World - Software giant says the final version will be available next year .
2,"Oracle Corp. raised its takeover offer for PeopleSoft Inc. by 14 percent to $ 8.8 billion , increasing the pressure on the smaller software company to give up its 17-month fight against the bid ."
2,"NEW YORK ( Reuters ) - New York Attorney General Eliot Spitzer , who is suing insurance broker Marsh McLennan Cos. MMC.N on fraud and bid-rigging charges , said on Thursday negotiations with the company have just begun and no settlement value has yet been discussed ."
